# Image list with two lines of data per image:
# IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
# POINTS2D[] as (X, Y, POINT3D_ID)
1 0.7071067811865476 0.7071067811865475 0.0 0.0 0.0 0.0 8.0 1 test_render_0.png

2 -0.30425623206977465 -0.2639753146139402 0.6913478425245113 0.5998194198954705 3.6604949861946643e-07 3.0822905517680713e-07 7.999999956079703 1 train_render_1.png

3 0.8271070658383676 0.5184216789901794 0.18395324517291647 0.11529990769989902 -2.3670137620299643e-07 -1.0182656775498065e-06 7.999999963349408 1 train_render_10.png

4 0.1291658523938355 0.07895653829723272 0.8433839784404267 0.5155438828978456 -1.4059699520917262e-07 1.5909823648905898e-06 7.999999720687275 1 train_render_11.png

5 0.7440659421133284 0.44392523976388976 -0.4287805074864209 -0.2558193490008474 -6.352509665898205e-07 -8.147016787987204e-08 8.000000043972916 1 train_render_12.png

6 0.6733570899253876 0.3923646084710462 0.5414019676569893 0.31547449664209376 -5.751228292279268e-07 -1.0237563113331712e-07 8.000000058018923 1 train_render_13.png

7 -0.2620969309600281 -0.1492447215712182 0.8285241318498464 0.47178277000826574 -4.6928439461391395e-07 4.608736196867182e-07 8.000000280995414 1 train_render_14.png

8 0.8719096063141608 0.48541499491760143 -0.05625809632218541 -0.03132036762892025 -2.1682648404713922e-09 -4.084616782602385e-07 8.00000025314178 1 train_render_15.png

9 0.3702941045956186 0.20163994794449028 0.7963513682303929 0.43364514300439305 1.3724769782073307e-06 1.8591004376219418e-07 7.99999987991393 1 train_render_16.png

10 0.6110237361580594 0.32556275209905594 -0.6368137099103406 -0.33930398746900675 -1.7866123927737992e-07 6.132195853027694e-09 7.999999995879126 1 train_render_17.png

11 0.8187608389127367 0.4269902013069546 0.34031234845755504 0.17747553141950076 6.727026759187649e-07 8.272379834167559e-07 8.000000004092929 1 train_render_18.png

12 -0.02057512464309501 -0.010505230606048658 0.8903884652062084 0.4546148714278187 -5.179627613967834e-08 3.847107718206978e-07 7.999999721474205 1 train_render_19.png

13 0.7735315080943027 0.6322456227913511 0.03387813362853834 0.027690283979720325 -5.779875390421543e-08 -3.567935050455937e-07 8.000000072449996 1 train_render_2.png

14 0.8409003946700231 0.42045017607435153 -0.30477294345195455 -0.1523864658708563 -3.661077624849416e-07 5.305134861802171e-07 8.000000198161334 1 train_render_20.png

15 0.5911861108627443 0.289526421294318 0.6760565032087851 0.33109066515406066 -3.544340460284933e-07 -3.767394710245576e-08 8.000000029238189 1 train_render_21.png

16 -0.4175060069770631 -0.20030674033025364 0.7991110830852279 0.38338938603156214 2.723369106612225e-07 3.0530425247862886e-07 7.999999755060007 1 train_render_22.png

17 0.8994646883030504 0.4228139239639389 0.09992613640498635 0.04697257517184521 2.473984684799031e-23 -7.359699456015747e-16 7.999999999999999 1 train_render_23.png

